#iform,regsize,mask,Throughput,Latency
ADCX_GPR32d_GPR32d,-,no,,1.0
ADCX_GPR32d_MEMd,-,no,,6.0
ADCX_GPR64q_GPR64q,-,no,,1.0
ADCX_GPR64q_MEMq,-,no,,6.0
ADC_GPR8_GPR8_10,8,no,,1.0
ADC_GPR8_GPR8_12,8,no,,1.0
ADC_GPR8_MEMb,8,no,,6.0
ADC_GPRv_GPRv_11,16,no,,1.0
ADC_GPRv_GPRv_11,32,no,,1.0
ADC_GPRv_GPRv_11,64,no,,1.0
ADC_GPRv_GPRv_13,16,no,,1.0
ADC_GPRv_GPRv_13,32,no,,1.0
ADC_GPRv_GPRv_13,64,no,,1.0
ADC_GPRv_MEMv,16,no,,6.0
ADC_GPRv_MEMv,32,no,,6.0
ADC_GPRv_MEMv,64,no,,6.0
ADD_GPR8_GPR8_00,8,no,0.25,1.0
ADD_GPR8_GPR8_02,8,no,0.25,1.0
ADD_GPR8_MEMb,8,no,0.5,6.0
ADD_GPRv_GPRv_01,16,no,0.25,1.0
ADD_GPRv_GPRv_01,32,no,0.25,1.0
ADD_GPRv_GPRv_01,64,no,0.25,1.0
ADD_GPRv_GPRv_03,16,no,0.25,1.0
ADD_GPRv_GPRv_03,32,no,0.25,1.0
ADD_GPRv_GPRv_03,64,no,0.25,1.0
ADD_GPRv_MEMv,16,no,0.5,6.0
ADD_GPRv_MEMv,32,no,0.5,6.0
ADD_GPRv_MEMv,64,no,0.5,6.0
ADOX_GPR32d_GPR32d,-,no,,1.0
ADOX_GPR32d_MEMd,-,no,,6.0
ADOX_GPR64q_GPR64q,-,no,,1.0
ADOX_GPR64q_MEMq,-,no,,6.0
ANDN_VGPR32d_VGPR32d_MEMd,-,no,0.5,
ANDN_VGPR32d_VGPR32d_VGPR32d,-,no,0.5,1.0
ANDN_VGPR64q_VGPR64q_VGPR64q,-,no,0.5,1.0
AND_GPR8_GPR8_20,8,no,0.25,1.0
AND_GPR8_GPR8_22,8,no,0.25,1.0
AND_GPR8_MEMb,8,no,0.5,6.0
AND_GPRv_GPRv_21,16,no,0.25,1.0
AND_GPRv_GPRv_21,32,no,0.25,1.0
AND_GPRv_GPRv_21,64,no,0.25,1.0
AND_GPRv_GPRv_23,16,no,0.25,1.0
AND_GPRv_GPRv_23,32,no,0.25,1.0
AND_GPRv_GPRv_23,64,no,0.25,1.0
AND_GPRv_MEMv,16,no,0.5,6.0
AND_GPRv_MEMv,32,no,0.5,6.0
AND_GPRv_MEMv,64,no,0.5,6.0
BEXTR_VGPR32d_MEMd_VGPR32d,-,no,,7.0
BEXTR_VGPR32d_VGPR32d_VGPR32d,-,no,0.5,2.0
BEXTR_VGPR64q_MEMq_VGPR64q,-,no,,7.0
BEXTR_VGPR64q_VGPR64q_VGPR64q,-,no,0.5,2.0
BLSI_VGPR32d_MEMd,-,no,0.5,6.0
BLSI_VGPR32d_VGPR32d,-,no,0.5,1.0
BLSI_VGPR64q_MEMq,-,no,0.5,6.0
BLSI_VGPR64q_VGPR64q,-,no,0.5,1.0
BLSMSK_VGPR32d_MEMd,-,no,0.5,6.0
BLSMSK_VGPR32d_VGPR32d,-,no,0.5,1.0
BLSMSK_VGPR64q_MEMq,-,no,0.5,6.0
BLSMSK_VGPR64q_VGPR64q,-,no,0.5,1.0
BLSR_VGPR32d_MEMd,-,no,0.5,6.0
BLSR_VGPR32d_VGPR32d,-,no,0.5,1.0
BLSR_VGPR64q_MEMq,-,no,0.5,6.0
BLSR_VGPR64q_VGPR64q,-,no,0.5,1.0
BTC_GPRv_GPRv,16,no,0.5,1.0
BTC_GPRv_GPRv,32,no,0.5,1.0
BTC_GPRv_GPRv,64,no,0.5,1.0
BTR_GPRv_GPRv,16,no,0.5,1.0
BTR_GPRv_GPRv,32,no,0.5,1.0
BTR_GPRv_GPRv,64,no,0.5,1.0
BTS_GPRv_GPRv,16,no,0.5,1.0
BTS_GPRv_GPRv,32,no,0.5,1.0
BTS_GPRv_GPRv,64,no,0.5,1.0
BZHI_VGPR32d_MEMd_VGPR32d,-,no,0.5,6.0
BZHI_VGPR32d_VGPR32d_VGPR32d,-,no,0.5,1.0
BZHI_VGPR64q_MEMq_VGPR64q,-,no,0.5,6.0
BZHI_VGPR64q_VGPR64q_VGPR64q,-,no,0.5,1.0
CVTSD2SI_GPR32d_MEMsd,-,no,1.0,
CVTSD2SI_GPR64q_MEMsd,-,no,1.0,
CVTSS2SI_GPR32d_MEMss,-,no,1.0,
CVTSS2SI_GPR64q_MEMss,-,no,1.0,
CVTTSD2SI_GPR32d_MEMsd,-,no,1.0,
CVTTSD2SI_GPR64q_MEMsd,-,no,1.0,
CVTTSS2SI_GPR32d_MEMss,-,no,1.0,
CVTTSS2SI_GPR64q_MEMss,-,no,1.0,
DEC_GPR8,8,no,0.25,1.0
DEC_GPRv_48,16,no,0.25,1.0
DEC_GPRv_48,32,no,0.25,1.0
DEC_GPRv_48,64,no,0.25,1.0
DEC_GPRv_FFr1,16,no,0.25,1.0
DEC_GPRv_FFr1,32,no,0.25,1.0
DEC_GPRv_FFr1,64,no,0.25,1.0
IMUL_GPRv_GPRv,16,no,1.0,3.0
IMUL_GPRv_GPRv,32,no,1.0,3.0
IMUL_GPRv_GPRv,64,no,1.0,3.0
IMUL_GPRv_MEMv,16,no,1.0,8.0
IMUL_GPRv_MEMv,32,no,1.0,8.0
IMUL_GPRv_MEMv,64,no,1.0,8.0
IMUL_GPRv_MEMv_IMMb,16,no,1.0,9.0
IMUL_GPRv_MEMv_IMMb,32,no,1.0,8.0
IMUL_GPRv_MEMv_IMMb,64,no,1.0,8.0
IMUL_GPRv_MEMv_IMMz,16,no,1.0,9.0
IMUL_GPRv_MEMv_IMMz,32,no,1.0,8.0
IMUL_GPRv_MEMv_IMMz,64,no,1.0,8.0
INC_GPR8,8,no,0.25,1.0
INC_GPRv_40,16,no,0.25,1.0
INC_GPRv_40,32,no,0.25,1.0
INC_GPRv_40,64,no,0.25,1.0
INC_GPRv_FFr0,16,no,0.25,1.0
INC_GPRv_FFr0,32,no,0.25,1.0
INC_GPRv_FFr0,64,no,0.25,1.0
LZCNT_GPRv_GPRv,16,no,1.0,
LZCNT_GPRv_GPRv,32,no,1.0,3.0
LZCNT_GPRv_GPRv,64,no,1.0,3.0
LZCNT_GPRv_MEMv,32,no,1.0,8.0
LZCNT_GPRv_MEMv,64,no,1.0,8.0
MOVBE_GPRv_MEMv,32,no,0.5,6.0
MOVD_GPR32_MMXd,-,no,1.0,
MOVD_MMXq_GPR32,-,no,1.0,
MOVD_MMXq_MEMd,-,no,0.5,
MOVQ_GPR64_MMXq,-,no,1.0,
MOVQ_MMXq_GPR64,-,no,1.0,
MOVQ_MMXq_MEMq_0F6E,-,no,0.5,
MOVQ_MMXq_MEMq_0F6F,-,no,0.5,
MOVQ_MMXq_MMXq_0F6F,-,no,0.5,1.0
