AAA		8086	AAA 	ASCII Adjust After Addition	AAA.html
AAD		8086	AAD 	ASCII Adjust AX Before Division	AAD.html
AAD	IMM	8086	AAD IMM	ASCII Adjust AX Before Division	AAD.html
AAM		8086	AAM 	ASCII Adjust AX After Multiply	AAM.html
AAM	IMM	8086	AAM IMM	ASCII Adjust AX After Multiply	AAM.html
AAS		8086	AAS 	ASCII Adjust AL After Subtraction	AAS.html
ADC	MEM,R8	8086	ADC MEM, R8	Add with Carry	ADC.html
ADC	R8,R8	8086	ADC R8, R8	Add with Carry	ADC.html
ADC	MEM,R16	8086	ADC MEM, R16	Add with Carry	ADC.html
ADC	R16,R16	8086	ADC R16, R16	Add with Carry	ADC.html
ADC	MEM,R32	386	ADC MEM, R32	Add with Carry	ADC.html
ADC	R32,R32	386	ADC R32, R32	Add with Carry	ADC.html
ADC	MEM,R64	X64	ADC MEM, r64	Add with Carry	ADC.html
ADC	R64,R64	X64	ADC r64, r64	Add with Carry	ADC.html
ADC	R8,MEM	8086	ADC R8, MEM	Add with Carry	ADC.html
ADC	R8,R8	8086	ADC R8, R8	Add with Carry	ADC.html
ADC	R16,MEM	8086	ADC R16, MEM	Add with Carry	ADC.html
ADC	R16,R16	8086	ADC R16, R16	Add with Carry	ADC.html
ADC	R32,MEM	386	ADC R32, MEM	Add with Carry	ADC.html
ADC	R32,R32	386	ADC R32, R32	Add with Carry	ADC.html
ADC	R64,MEM	X64	ADC r64, MEM	Add with Carry	ADC.html
ADC	R64,R64	X64	ADC r64, r64	Add with Carry	ADC.html
ADC	R/M16,IMM8	8086	ADC r/m16, IMM8	Add with Carry	ADC.html
ADC	R/M32,IMM8	386	ADC R/M32, IMM8	Add with Carry	ADC.html
ADC	R/M64,IMM8	X64	ADC r/m64, IMM8	Add with Carry	ADC.html
ADC	AL,IMM	8086	ADC AL, IMM	Add with Carry	ADC.html
ADC	AX,IMM	8086	ADC AX, IMM	Add with Carry	ADC.html
ADC	EAX,IMM	386	ADC EAX, IMM	Add with Carry	ADC.html
ADC	RAX,IMM	X64	ADC RAX, IMM	Add with Carry	ADC.html
ADC	R/M8,IMM	8086	ADC r/m8, IMM	Add with Carry	ADC.html
ADC	R/M16,IMM	8086	ADC r/m16, IMM	Add with Carry	ADC.html
ADC	R/M32,IMM	386	ADC R/M32, IMM	Add with Carry	ADC.html
ADC	R/M64,IMM	X64	ADC r/m64, IMM	Add with Carry	ADC.html
ADC	MEM,IMM8	8086	ADC MEM, IMM8	Add with Carry	ADC.html
ADC	MEM,IMM16	8086	ADC MEM, IMM16	Add with Carry	ADC.html
ADC	MEM,IMM32	386	ADC MEM, IMM32	Add with Carry	ADC.html
