CMOVcc	CMOVE CMOVZ CMOVNE CMOVNZ CMOVA CMOVNBE CMOVAE CMOVNB CMOVB CMOVNAE CMOVBE CMOVNA CMOVG CMOVNLE CMOVGE CMOVNL CMOVL CMOVNGE CMOVLE CMOVNG CMOVC CMOVNC CMOVO CMOVNO CMOVS CMOVNS CMOVP CMOVPE CMOVNP CMOVPO
PUSHF(D/Q)	PUSHF PUSHFD PUSHFQ
PUSHA(D)	PUSHA PUSHAD
POPF(D/Q)	POPF POPFD POPFQ
POPA(D)	POPA POPAD
PREFETCHNTA/0/1/2	PREFETCHNTA PREFETCHT0 PREFETCHT1 PREFETCHT2
SETcc	SETE SETZ SETNE SETNZ SETA SETNBE SETAE SETNB SETNC SETB SETNAE SETC SETBE SETNA SETG SETNLE SETGE SETNL SETL SETNGE SETLE SETNG SETS SETNS SETO SETNO SETPE SETP SETPO SETNP
Conditional jump	JE JZ JNE JNZ JA JNBE JAE JNB JB JNAE JBE JNA JG JNLE JGE JNL JL JNGE JLE JNG JC JNC JO JNO JS JNS JPO JNP JPE JP
J(E/R)CXZ	JCXZ JECXZ JRCXZ
LOOP(N)E	LOOPE LOOPNE
LODSB/W	LODSB LODSW
LODSD/Q	LODSD LODSQ
FST(P)	FST FSTP
FIST(P)	FIST FISTP
FLDPI FLDL2E etc.	FLDPI FLDL2E
FCMOVcc	FCMOVB FCMOVBE FCMOVE FCMOVNB FCMOVNBE FCMOVNE FCMOVNU FCMOVU
FFREE(P)	FFREE FFREEP
FADD(P) FSUB(R)(P)	FADD FADDP FSUBR FSUBP
FMUL(P)	FMUL FMULP
FDIV(R)(P)	FDIV FDIVR FDIVP
FCOM(P) FUCOM	FCOM FCOMP FUCOM
FCOMI(P) FUCOMI(P)	FCOMI FCOMIP FUCOMI FUCOMIP
FIADD FISUB(R)	FIADD FISUB FISUBR
FIDIV(R)	FIDIV FIDIVR
FICOM(P)	FICOM FICOMP
MOVDQA/U	MOVDQA MOVDQU
VMOVDQA/U	VMOVDQA VMOVDQU
PACKSSWB/DW PACKUSWB	PACKSSWB PACKSSDW PACKUSWB
PUNPCKH/L BW/WD/DQ	PUNPCKHBW PUNPCKLBW PUNPCKHWD PUNPCKLWD PUNPCKHDQ PUNPCKLDQ
PUNPCKH/L QDQ	PUNPCKHQDQ PUNPCKLQDQ
PMOVSX/ZX BW BD BQ DW DQ	PMOVSXBW PMOVZXBW PMOVSXBD PMOVZXBD PMOVSXBQ PMOVZXBQ PMOVSXWD PMOVZXWD PMOVSXDQ PMOVZXDQ
VPMOVSX/ZX BW BD BQ DW DQ	VPMOVSXBW VPMOVZXBW VPMOVSXBD VPMOVZXBD VPMOVSXBQ VPMOVZXBQ VPMOVSXWD VPMOVZXWD VPMOVSXDQ VPMOVZXDQ
PSHUFL/HW	PSHUFLW PSHUFHW
VPMASKMOVD/Q	VPMASKMOVD VPMASKMOVQ
PEXTRB/W/D/Q	PEXTRB PEXTRW PEXTRD PEXTRQ
PINSRD/Q	PINSRD PINSRQ
VPBROADCASTB/W/D/Q	VPBROADCASTB VPBROADCASTW VPBROADCASTD VPBROADCASTQ
VPBROADCASTD/Q	VPBROADCASTD VPBROADCASTQ
VPBROADCASTB/W	VPBROADCASTB VPBROADCASTW
PADD/SUB(S,US) B/W/D/Q	PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW
PHADD(S)W/D PHSUB(S)W/D	PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD
PCMPEQB/W/D PCMPGTB/W/D	PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD
PMULL/HW PMULHUW	PMULLW PMULHW PMULHUW
PAVGB/W	PAVGB PAVGW
PMIN/PMAX SB/SW/SD UB/UW/UD	PMINSB PMINSW PMINSD PMINUB PMINUW PMINUD PMAXSB PMAXSW PMAXSD PMAXUB PMAXUW PMAXUD
PABSB/W/D	PABSB PABSW PABSD
PSIGNB/W/D	PSIGNB PSIGNW PSIGND
PSLLW/D/Q PSRLW/D/Q PSRAW/D/Q	PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ
VPSLLVD/Q VPSRAVD VPSRLVD/Q	VPSLLVD VPSLLVQ VPSRAVD VPSRLVD VPSRLVQ
MOVAPS/D	MOVAPS MOVAPD
MOVAPS/D MOVUPS/D	MOVAPS MOVAPD MOVUPS MOVUPD
VMOVAPS/D VMOVUPS/D	VMOVAPS VMOVAPD VMOVUPS VMOVUPD
MOVSS/D	MOVSS MOVSD
VMOVAPS/D	VMOVAPS VMOVAPD
MOVHPS/D	MOVHPS MOVHPD
MOVLPS/D	MOVLPS MOVLPD
MOVMSKPS/D	MOVMSKPS MOVMSKPD
VMOVMSKPS/D	VMOVMSKPS VMOVMSKPD
MOVNTPS/D	MOVNTPS MOVNTPD
VMOVNTPS/D	VMOVNTPS VMOVNTPD
SHUFPS/D	SHUFPS SHUFPD
VPERMILPS/PD	VPERMILPS VPERMILPD
BLENDPS/PD	BLENDPS BLENDPD
BLENDVPS/PD	BLENDVPS BLENDVPD
VBLENDVPS/PD	VBLENDVPS VBLENDVPD
MOVSH/LDUP	MOVSHDUP MOVSLDUP
UNPCKH/LPS/D	UNPCKHPS UNPCKLPS UNPCKHPD UNPCKLPD
VMASKMOVPS/D	VMASKMOVPS VMASKMOVPD
CVT(T) PS2DQ	CVTPD2DQ CVTTPD2DQ
VCVT(T) PS2DQ	VCVTPD2DQ VCVTTPD2DQ
CVT(T)PD2DQ	CVTPS2DQ CVTTPS2DQ
VCVT(T)PD2DQ	VCVTPS2DQ VCVTTPS2DQ
CVT(T)PS2PI	CVTPS2PI CVTTPS2PI
CVT(T) PD2PI	CVTPD2PI CVTTPD2PI
CVT(T)SS2SI	CVTSS2SI CVTTSS2SI
CVT(T)SD2SI	CVTSD2SI CVTTSD2SI
ADDSS/D PS/D SUBSS/D PS/D	ADDSS ADDSD ADDPS ADDPD SUBSS SUBSD SUBPS SUBPD
ADDSUBPS/D	ADDSUBPS ADDSUBPD
HADDPS/D HSUBPS/D	HADDPS HADDPD HSUBPS HSUBPD
MULSS/D PS/D	MULSS MULSD MULPS MULPD
RCPSS/PS	RCPSS RCPPS
CMPccSS/D CMPccPS/D	CMPEQPS CMPEQSS CMPLEPS CMPLESS CMPLTPS CMPLTSS CMPNEQPS CMPNEQSS CMPNLEPS CMPNLESS CMPNLTPS CMPNLTSS CMPORDPS CMPORDSS CMPUNORDPS CMPUNORDSS CMPEQPD CMPEQSD CMPLEPD CMPLESD CMPLTPD CMPLTSD CMPNEQPD CMPNEQSD 
(U)COMISS/D	COMISS COMISD UCOMISS UCOMISD
MAXSS/D PS/D MINSS/D PS/D	MAXSS MAXSD MAXPS MAXPD MINSS MINSD MINPS MINPD
ROUNDSS/D PS/D	ROUNDSS ROUNDSD ROUNDPS ROUNDPD
VFMADD... (all FMA instr.)	VFMADD132SS VFMADD132SD VFMADD132PS VFMADD132PD VFMADD213SS VFMADD213SD VFMADD213PS VFMADD213PD VFMADD231SS VFMADD231SD VFMADD231PS VFMADD231PD VFMADDSUB132PS VFMADDSUB132PD VFMADDSUB213PS VFMADDSUB213PD 
SQRTSS/PS	SQRTSS SQRTPS
SQRTSD/PD	SQRTSD SQRTPD
RSQRTSS/PS	RSQRTSS RSQRTPS
AND/ANDN/OR/XORPS/PD	ANDPS ANDPD ANDNPS ANDNPD ORPS ORPD XORPS XORPD
AESDEC, AESDECLAST, AESENC, AESENCLAST	AESDEC AESDECLAST AESENC AESENCLAST


