;Instruction	Operands	Latency	Throughput	Remark
;Skylake				
				
MOV	r,i	1	0.25	
MOV	r8/16,r8/16		0.25	
MOV	r32/64,r32/64	0-1	0.25	
;MOV	r8l,m		0.5	
;MOV	r8h,m		0.5	
MOV	r8/16,m		0.5	
MOV	r32/64,m	2	0.5	
MOV	m,r	2	1	
MOV	m,i		1	
MOVNTI	m,r	~400	1	
MOVSX MOVZX MOVSXD	r,r	1	0.25	
MOVSX MOVZX	r16,m8		0.5	
MOVSX MOVZX MOVSXD	r,m		0.5	
CMOVE CMOVZ CMOVNE CMOVNZ CMOVA CMOVNBE CMOVAE CMOVNB CMOVB CMOVNAE CMOVBE CMOVNA CMOVG CMOVNLE CMOVGE CMOVNL CMOVL CMOVNGE CMOVLE CMOVNG CMOVC CMOVNC CMOVO CMOVNO CMOVS CMOVNS CMOVP CMOVPE CMOVNP CMOVPO	r,r	1	0.5	
CMOVE CMOVZ CMOVNE CMOVNZ CMOVA CMOVNBE CMOVAE CMOVNB CMOVB CMOVNAE CMOVBE CMOVNA CMOVG CMOVNLE CMOVGE CMOVNL CMOVL CMOVNGE CMOVLE CMOVNG CMOVC CMOVNC CMOVO CMOVNO CMOVS CMOVNS CMOVP CMOVPE CMOVNP CMOVPO	r,m		0.5	
XCHG	r,r	2	1	
XCHG	r,m	23		implicit lock
XLAT		7	2	
PUSH	r	3	1	
PUSH	i		1	
PUSH	m		1	
PUSH	stack pointer		1	
PUSHF PUSHFD PUSHFQ			1	
PUSHA PUSHAD			8	
POP	r	2	0.5	
POP	stack pointer		3	
POP	m		1	
POPF POPFD POPFQ			20	
POPA POPAD			8	
LAHF SAHF		1	1	
SALC		1	1	
LEA	r16,m	2-4	1	16 or 32 bit address size
LEA	r32/64,m	1	0.5	1 or 2 components in address
LEA	r32/64,m	3	1	3 components in address
LEA	r32/64,m		1	rip relative address
BSWAP	r32	1	0.5	
BSWAP	r64	2	1	
MOVBE	r16,m16		0.5-1	
MOVBE	r32,m32		0.5	
MOVBE	r64,m64		0.75	
MOVBE	m16,r16		1	
MOVBE	m32,r32		1	
MOVBE	m64,r64		1	
PREFETCHNTA PREFETCHT0 PREFETCHT1 PREFETCHT2	m		0.5	
PREFETCHW	m		1	
LFENCE			4	
MFENCE			33	
SFENCE			6	
				
ADD SUB	r,r/i	1	0.25	
ADD SUB	r,m		0.5	
ADD SUB	m,r/i	5	1	
ADC SBB	r,r/i	1	1	
ADC SBB	r,m		1	
ADC SBB	m,r/i	5	2	
CMP	r,r/i	1	0.25	
CMP	m,r/i	1	0.5	
INC DEC NEG NOT	r	1	0.25	
INC DEC NOT	m	5-6	1	
NEG	m	5-6	1	
AAA		4		
AAS		4		
DAA DAS		4		
AAD		4		
AAM		23	7	
MUL IMUL	r8	3	1	
MUL IMUL	r16	4	2	
MUL IMUL	r32	4	1	
MUL IMUL	r64	3	1	
MUL IMUL	m8		1	
MUL IMUL	m16		2	
MUL IMUL	m32		2	
MUL IMUL	m64		1	
IMUL	r,r	3	1	
IMUL	r,m		1	
IMUL	r16,r16,i	4	1	
