AAA	none	8086,NOLONG	AAA 	ASCII Adjust After Addition	AAA.html
AAD	none	8086,NOLONG	AAD 	ASCII Adjust AX Before Division	AAD.html
AAD	imm	8086,NOLONG	AAD imm	ASCII Adjust AX Before Division	AAD.html
AAM	none	8086,NOLONG	AAM 	ASCII Adjust AX After Multiply	AAM.html
AAM	imm	8086,NOLONG	AAM imm	ASCII Adjust AX After Multiply	AAM.html
AAS	none	8086,NOLONG	AAS 	ASCII Adjust AL After Subtraction	AAS.html
ADC	mem,reg8	8086,LOCK	ADC mem, r8	Add with Carry	ADC.html
ADC	reg8,reg8	8086	ADC r8, r8	Add with Carry	ADC.html
ADC	mem,reg16	8086,LOCK	ADC mem, r16	Add with Carry	ADC.html
ADC	reg16,reg16	8086	ADC r16, r16	Add with Carry	ADC.html
ADC	mem,reg32	386,LOCK	ADC mem, r32	Add with Carry	ADC.html
ADC	reg32,reg32	386	ADC r32, r32	Add with Carry	ADC.html
ADC	mem,reg64	X64,LOCK	ADC mem, r64	Add with Carry	ADC.html
ADC	reg64,reg64	X64	ADC r64, r64	Add with Carry	ADC.html
ADC	reg8,mem	8086	ADC r8, mem	Add with Carry	ADC.html
ADC	reg8,reg8	8086	ADC r8, r8	Add with Carry	ADC.html
ADC	reg16,mem	8086	ADC r16, mem	Add with Carry	ADC.html
ADC	reg16,reg16	8086	ADC r16, r16	Add with Carry	ADC.html
ADC	reg32,mem	386	ADC r32, mem	Add with Carry	ADC.html
ADC	reg32,reg32	386	ADC r32, r32	Add with Carry	ADC.html
ADC	reg64,mem	X64	ADC r64, mem	Add with Carry	ADC.html
ADC	reg64,reg64	X64	ADC r64, r64	Add with Carry	ADC.html
ADC	rm16,imm8	8086,LOCK	ADC r/m16, imm8	Add with Carry	ADC.html
ADC	rm32,imm8	386,LOCK	ADC r/m32, imm8	Add with Carry	ADC.html
ADC	rm64,imm8	X64,LOCK	ADC r/m64, imm8	Add with Carry	ADC.html
ADC	reg_al,imm	8086	ADC AL, imm	Add with Carry	ADC.html
ADC	reg_ax,imm	8086	ADC AX, imm	Add with Carry	ADC.html
ADC	reg_eax,imm	386	ADC EAX, imm	Add with Carry	ADC.html
ADC	reg_rax,imm	X64	ADC RAX, imm	Add with Carry	ADC.html
ADC	rm8,imm	8086,LOCK	ADC r/m8, imm	Add with Carry	ADC.html
ADC	rm16,imm	8086,LOCK	ADC r/m16, imm	Add with Carry	ADC.html
ADC	rm32,imm	386,LOCK	ADC r/m32, imm	Add with Carry	ADC.html
ADC	rm64,imm	X64,LOCK	ADC r/m64, imm	Add with Carry	ADC.html
ADC	mem,imm8	8086,LOCK,ND	ADC mem, imm8	Add with Carry	ADC.html
ADC	mem,imm16	8086,LOCK	ADC mem, imm16	Add with Carry	ADC.html
ADC	mem,imm32	386,LOCK	ADC mem, imm32	Add with Carry	ADC.html
ADC	rm8,imm	8086,LOCK,ND,NOLONG	ADC r/m8, imm	Add with Carry	ADC.html
ADD	mem,reg8	8086,LOCK	ADD mem, r8	Add	ADD.html
ADD	reg8,reg8	8086	ADD r8, r8	Add	ADD.html
ADD	mem,reg16	8086,LOCK	ADD mem, r16	Add	ADD.html
ADD	reg16,reg16	8086	ADD r16, r16	Add	ADD.html
ADD	mem,reg32	386,LOCK	ADD mem, r32	Add	ADD.html
ADD	reg32,reg32	386	ADD r32, r32	Add	ADD.html
ADD	mem,reg64	X64,LOCK	ADD mem, r64	Add	ADD.html
ADD	reg64,reg64	X64	ADD r64, r64	Add	ADD.html
ADD	reg8,mem	8086	ADD r8, mem	Add	ADD.html
ADD	reg8,reg8	8086	ADD r8, r8	Add	ADD.html
ADD	reg16,mem	8086	ADD r16, mem	Add	ADD.html
ADD	reg16,reg16	8086	ADD r16, r16	Add	ADD.html
ADD	reg32,mem	386	ADD r32, mem	Add	ADD.html
ADD	reg32,reg32	386	ADD r32, r32	Add	ADD.html
