;Intel Airmont (Atom)
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1			1.00	PREFETCH_NOP
AESDEC	XMM, M128	5	5		9	9.00	AES
AESDECLAST	XMM, M128	5	5		9	9.00	AES
AESENC	XMM, M128	5	5		9	9.00	AES
AESENCLAST	XMM, M128	5	5		9	9.00	AES
AESIMC	XMM, M128	4	4			8.00	AES
AESKEYGENASSIST	XMM, M128, I8	4	4			8.00	AES
ADC	AL, 0	1	1		2	2.00	I86
ADC	AX, I16	1	1		2	2.00	I86
ADC	M16, 0	1	1		6	2.00	I86
ADC	M16, I8	1	1		6	2.00	I86
ADC	M32, 0	1	1		6	2.00	I86
ADC	M32, I8	1	1		6	2.00	I86
ADC	M64, 0	1	1		6	2.00	I86
ADC	M64, I8	1	1		6	2.00	I86
ADC	M8, 0	1	1		6	2.00	I86
ADC	M8, R8h	1	1		6	2.00	I86
ADC	R16, 0	1	1		2	2.00	I86
ADC	R16, I8	1	1		2	2.00	I86
ADC	R32, 0	1	1		2	2.00	I86
ADC	R32, I8	1	1		2	2.00	I86
ADC	R64, 0	1	1		2	2.00	I86
ADC	R64, I8	1	1		2	2.00	I86
ADC	R8h, 0	1	1		2	2.00	I86
ADC	R8h, M8	1	1		2	2.00	I86
ADC	RAX, I32	1	1		2	2.00	I86
ADC	R8h, R8l	1	1		2	2.00	I86
ADC	R8l, R8l	1	1		2	2.00	I86
ADC	R32, R32	1	1		2	2.00	I86
ADC	R8h, R8h	1	1		3	2.00	I86
ADC	R8l, R8h	1	1		3	2.00	I86
ADC	R16, R16	1	1		2	2.00	I86
ADC	R64, R64	1	1		2	2.00	I86
ADC	M16, I16	1	1		11	9.00	lock I86
ADC	M16, R16	1	1		19	9.00	lock I86
ADC	M32, I32	1	1		11	9.00	lock I86
ADC	M32, R32	1	1		16	9.00	lock I86
ADC	M64, I32	1	1		11	9.00	lock I86
ADC	M64, R64	1	1		16	9.00	lock I86
ADC	M8, I8	1	1		11	9.00	lock I86
ADC	M8, R8l	1	1		19	9.00	lock I86
ADC	R8l, I8	1	1		2	2.00	I86
ADD	AL, I8	1	1		1	1.00	I86
ADD	EAX, I32	1	1		1	1.00	I86
ADD	M16, I16	1	1			1.00	I86
ADD	M16, R16	1	1		3	1.00	I86
ADD	M32, I32	1	1			1.00	I86
ADD	M32, R32	1	1		4	1.00	I86
ADD	M64, I32	1	1			1.00	I86
ADD	M64, R64	1	1		4	1.00	I86
ADD	M8, I8	1	1			1.00	I86
ADD	M8, R8l	1	1		3	1.00	I86
ADD	R16, I16	1	1		1	0.50	I86
ADD	R16, M16	1	1		1	1.00	I86
ADD	R32, I32	1	1		1	0.50	I86
ADD	R32, M32	1	1		1	1.00	I86
ADD	R64, I32	1	1		1	0.50	I86
ADD	R64, M64	1	1		1	1.00	I86
ADD	R8h, I8	1	1		2	1.00	I86
ADD	R8l, M8	1	1		1	1.00	I86
ADD	R8h, R8h	1	1		2	0.50	I86
ADD	R8l, R8h	1	1		2	1.00	I86
ADD	R16, R16	1	1		1	0.50	I86
ADD	R64, R64	1	1		1	0.50	I86
ADD	R8h, R8l	1	1		2	1.00	I86
ADD	R8l, R8l	1	1		1	0.50	I86
ADD	R32, R32	1	1		1	0.50	I86
ADD	M16, 0	1	1			10.48	lock I86
ADD	M16, I8	1	1			10.50	lock I86
ADD	M32, 0	1	1			10.50	lock I86
ADD	M32, I8	1	1			10.50	lock I86
ADD	M64, 0	1	1			9.75	lock I86
ADD	M64, I8	1	1			9.75	lock I86
ADD	M8, 0	1	1			10.50	lock I86
ADD	M8, R8h	1	1		12	10.50	lock I86
ADD	R8l, 0	1	1		1	0.50	I86
AND	AL, 0	1	1		1	1.00	I86
AND	AX, I16	1	1		1	1.00	I86
AND	M16, 0	1	1			1.00	I86
AND	M16, I8	1	1			1.00	I86
AND	M32, 0	1	1			1.00	I86
AND	M32, I8	1	1			1.00	I86
AND	M64, 0	1	1			1.00	I86
AND	M64, I8	1	1			1.00	I86
AND	M8, 0	1	1			1.00	I86
AND	M8, R8h	1	1		6	1.00	I86
AND	R16, 0	1	1		1	0.50	I86
AND	R16, I8	1	1		1	0.50	I86
AND	R32, 0	1	1		1	0.50	I86
AND	R32, I8	1	1		1	0.50	I86
AND	R64, 0	1	1		1	0.50	I86
AND	R64, I8	1	1		1	0.50	I86
AND	R8h, 0	1	1		2	1.00	I86
AND	R8h, M8	1	1		2	1.00	I86
AND	RAX, I32	1	1		1	1.00	I86
AND	R8h, R8l	1	1		2	1.00	I86
AND	R8l, R8l	1	1		1	0.50	I86
AND	R32, R32	1	1		1	0.50	I86
AND	R8h, R8h	1	1		2	0.50	I86
AND	R8l, R8h	1	1		2	1.00	I86
AND	R16, R16	1	1		1	0.50	I86
AND	R64, R64	1	1		1	0.50	I86
AND	M16, I16	1	1			10.50	lock I86
AND	M16, R16	1	1		18	10.50	lock I86
AND	M32, I32	1	1			10.50	lock I86
AND	M32, R32	1	1		12	10.50	lock I86
AND	M64, I32	1	1			9.75	lock I86
AND	M64, R64	1	1		12	9.75	lock I86
AND	M8, I8	1	1			10.50	lock I86
AND	M8, R8l	1	1		18	10.48	lock I86
AND	R8l, I8	1	1		1	0.50	I86
BSF	R16, R16	10	10		10	10.00	I386
BSF	R32, R32	10	10		10	10.00	I386
BSF	R64, R64	10	10		10	10.00	I386
BSR	R16, R16	10	10		11	10.00	I386
BSR	R32, R32	10	10		11	10.00	I386
BSR	R64, R64	10	10		11	10.00	I386
BSWAP	R64	1	1		1	1.00	I486REAL
BT	M16, I8	1	1			1.00	I386
BT	M32, 0	1	1			1.00	I386
BT	M32, R32	7	7		9	9.00	I386
BT	M64, I8	1	1			1.00	I386
BT	R16, 0	1	1		2	1.00	I386
BT	R16, R16	1	1		2	1.00	I386
BT	R32, I8	1	1		2	1.00	I386
BT	R64, 0	1	1		2	1.00	I386
BT	R64, R64	1	1		2	1.00	I386
BTC	M16, I8	1	1			1.00	I386
BTC	M32, 0	1	1			1.00	I386
BTC	M32, R32	8	8		13	10.00	I386
BTC	M64, I8	1	1			1.00	I386
BTC	R16, 0	1	1		2	1.00	I386
BTC	R16, R16	1	1		2	1.00	I386
BTC	R32, I8	1	1		2	1.00	I386
BTC	R64, 0	1	1		2	1.00	I386
BTC	R64, R64	1	1		2	1.00	I386
BTC	M16, I8	1	1			11.50	lock I386
BTC	M32, 0	1	1			11.50	lock I386
BTC	M32, R32	8	8		19	12.40	lock I386
BTC	M64, I8	1	1			10.75	lock I386
BTR	M16, 0	1	1			1.00	I386
BTR	M16, R16	8	8		14	10.00	I386
BTR	M32, I8	1	1			1.00	I386
BTR	M64, 0	1	1			1.00	I386
BTR	M64, R64	8	8		13	10.00	I386
BTR	R16, I8	1	1		2	1.00	I386
BTR	R32, 0	1	1		2	1.00	I386
BTR	R32, R32	1	1		2	1.00	I386
BTR	R64, I8	1	1		2	1.00	I386
BTR	M16, 0	1	1			11.50	lock I386
BTR	M16, R16	8	8		20	13.00	lock I386
BTR	M32, I8	1	1			11.50	lock I386
BTR	M64, 0	1	1			10.75	lock I386
BTR	M64, R64	8	8		19	12.40	lock I386
BTS	M16, I8	1	1			1.00	I386
BTS	M32, 0	1	1			1.00	I386
BTS	M32, R32	8	8		13	10.00	I386
BTS	M64, I8	1	1			1.00	I386
BTS	R16, 0	1	1		2	1.00	I386
BTS	R16, R16	1	1		2	1.00	I386
BTS	R32, I8	1	1		2	1.00	I386
BTS	R64, 0	1	1		2	1.00	I386
BTS	R64, R64	1	1		2	1.00	I386
BTS	M16, I8	1	1			11.50	lock I386
BTS	M32, 0	1	1			11.47	lock I386
BTS	M32, R32	8	8		19	12.40	lock I386
BTS	M64, I8	1	1			10.75	lock I386
CALL	R64	1	1			1.77	I86
CBW		2	2		3	4.00	I86
CLC		1	1			1.00	I86
CLI		7	7			9.00	I86
CMC		1	1		1	1.00	I86
CMOVB	R16, R16	1	1		2	1.00	CMOV
CMOVB	R32, R32	1	1		2	1.00	CMOV
CMOVB	R64, R64	1	1		2	1.00	CMOV
CMOVBE	R16, R16	1	1		2	1.00	CMOV
CMOVBE	R32, R32	1	1		2	1.00	CMOV
CMOVBE	R64, R64	1	1		2	1.00	CMOV
CMOVL	R16, R16	1	1		2	1.00	CMOV
CMOVL	R32, R32	1	1		2	1.00	CMOV
CMOVL	R64, R64	1	1		2	1.00	CMOV
CMOVLE	R16, R16	1	1		2	1.00	CMOV
CMOVLE	R32, R32	1	1		2	1.00	CMOV
CMOVLE	R64, R64	1	1		2	1.00	CMOV
CMOVNB	R16, R16	1	1		2	1.00	CMOV
CMOVNB	R32, R32	1	1		2	1.00	CMOV
CMOVNB	R64, R64	1	1		2	1.00	CMOV
CMOVNBE	R16, R16	1	1		2	1.00	CMOV
CMOVNBE	R32, R32	1	1		2	1.00	CMOV
CMOVNBE	R64, R64	1	1		2	1.00	CMOV
