;Intel Bonnell (Atom)
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	2	2			5.00	PREFETCH_NOP
ADC	AL, 0	1	1		2	2.00	I86
ADC	AX, I16	1	1		2	2.00	I86
ADC	M16, 0	1	1		2	2.00	I86
ADC	M16, I8	1	1		2	2.00	I86
ADC	M32, 0	1	1		2	2.00	I86
ADC	M32, I8	1	1		2	2.00	I86
ADC	M64, 0	1	1		2	2.00	I86
ADC	M64, I8	1	1		2	2.00	I86
ADC	M8, 0	1	1		2	2.00	I86
ADC	M8, R8h	1	1		3	2.00	I86
ADC	R16, 0	1	1		2	2.00	I86
ADC	R16, I8	1	1		2	2.00	I86
ADC	R32, 0	1	1		2	2.00	I86
ADC	R32, I8	1	1		2	2.00	I86
ADC	R64, 0	1	1		2	2.00	I86
ADC	R64, I8	1	1		2	2.00	I86
ADC	R8h, 0	1	1		3	2.00	I86
ADC	R8h, M8	1	1		3	2.00	I86
ADC	RAX, I32	1	1		2	2.00	I86
ADC	R8h, R8l	1	1		3	2.00	I86
ADC	R8l, R8l	1	1		2	2.00	I86
ADC	R32, R32	1	1		2	2.00	I86
ADC	R8h, R8h	1	1		3	2.00	I86
ADC	R8l, R8h	1	1		3	2.00	I86
ADC	R16, R16	1	1		2	2.00	I86
ADC	R64, R64	1	1		2	2.00	I86
ADC	M16, I16	1	1		9	5.50	lock I86
ADC	M16, R16	1	1		9	5.50	lock I86
ADC	M32, I32	1	1		9	2.00	lock I86
ADC	M32, R32	1	1		9	2.00	lock I86
ADC	M64, I32	1	1		9	2.00	lock I86
ADC	M64, R64	1	1		9	2.00	lock I86
ADC	M8, I8	1	1		9	7.25	lock I86
ADC	M8, R8l	1	1		9	7.25	lock I86
ADC	R8l, I8	1	1		2	2.00	I86
ADD	AL, I8	1	1		1	1.00	I86
ADD	EAX, I32	1	1		1	1.00	I86
ADD	M16, I16	1	1			1.02	I86
ADD	M16, R16	1	1		1	1.00	I86
ADD	M32, I32	1	1			1.00	I86
ADD	M32, R32	1	1		1	1.00	I86
ADD	M64, I32	1	1			1.00	I86
ADD	M64, R64	1	1		1	1.00	I86
ADD	M8, I8	1	1			1.00	I86
ADD	M8, R8l	1	1		1	1.00	I86
ADD	R16, I16	1	1		1	0.69	I86
ADD	R16, M16	1	1		1	1.00	I86
ADD	R32, I32	1	1		1	0.82	I86
ADD	R32, M32	1	1		1	1.00	I86
ADD	R64, I32	1	1		1	0.88	I86
ADD	R64, M64	1	1		1	1.00	I86
ADD	R8h, I8	1	1		2	0.50	I86
ADD	R8l, M8	1	1		1	1.00	I86
ADD	R8h, R8h	1	1		2	0.50	I86
ADD	R8l, R8h	1	1		2	0.50	I86
ADD	R16, R16	1	1		1	0.50	I86
ADD	R64, R64	1	1		1	0.50	I86
ADD	R8h, R8l	1	1		2	0.50	I86
ADD	R8l, R8l	1	1		1	0.50	I86
ADD	R32, R32	1	1		1	0.50	I86
ADD	M16, 0	1	1			4.50	lock I86
ADD	M16, I8	1	1			4.50	lock I86
ADD	M32, 0	1	1			1.00	lock I86
ADD	M32, I8	1	1			1.00	lock I86
