;Intel Cannon Lake
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1	1*p23		0.50	PREFETCH_NOP
ADCX	R32, M32	1	2	1*p06+1*p23	1	0.50	ADOX_ADCX
ADCX	R64, M64	1	2	1*p06+1*p23	1	0.52	ADOX_ADCX
ADOX	R32, M32	1	2	1*p06+1*p23	1	0.50	ADOX_ADCX
ADOX	R64, M64	1	2	1*p06+1*p23	1	0.52	ADOX_ADCX
AESDEC	XMM, M128	2	2	1*p01+1*p23	4	1.00	AES
AESDECLAST	XMM, M128	2	2	1*p01+1*p23	4	1.00	AES
AESENC	XMM, M128	2	2	1*p01+1*p23	4	1.00	AES
AESENCLAST	XMM, M128	2	2	1*p01+1*p23	4	1.00	AES
AESIMC	XMM, M128	3	3	2*p01+1*p23		1.00	AES
AESKEYGENASSIST	XMM, M128, I8	13	13	4*p0+1*p01+1*p06+1*p23+6*p5		12.00	AES
VADDPD	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VADDPD	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VADDPS	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VADDPS	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VADDSD	XMM, XMM, M64	1	2	1*p01+1*p23	4	0.53	AVX
VADDSS	XMM, XMM, M32	1	2	1*p01+1*p23	4	0.53	AVX
VADDSUBPD	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VADDSUBPD	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VADDSUBPS	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.54	AVX
VADDSUBPS	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VANDNPD	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VANDNPD	YMM, YMM, M256	1	2	1*p015+1*p23	1	0.50	AVX
VANDNPS	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VANDNPS	YMM, YMM, M256	1	2	1*p015+1*p23	1	0.50	AVX
VANDPD	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VANDPD	YMM, YMM, M256	1	2	1*p015+1*p23	1	0.50	AVX
VANDPS	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VANDPS	YMM, YMM, M256	1	2	1*p015+1*p23	1	0.50	AVX
VBLENDPD	XMM, XMM, M128, I8	2	2	1*p015+1*p23	1	1.00	AVX
VBLENDPD	YMM, YMM, M256, I8	2	2	1*p015+1*p23	1	1.00	AVX
VBLENDPS	XMM, XMM, M128, I8	2	2	1*p015+1*p23	1	1.00	AVX
VBLENDPS	YMM, YMM, M256, I8	2	2	1*p015+1*p23	1	1.00	AVX
VBLENDVPD	XMM, XMM, M128, XMM	3	3	2*p015+1*p23	2	1.00	AVX
VBLENDVPD	YMM, YMM, M256, YMM	3	3	2*p015+1*p23	2	1.00	AVX
VBLENDVPS	XMM, XMM, M128, XMM	3	3	2*p015+1*p23	2	1.00	AVX
VBLENDVPS	YMM, YMM, M256, YMM	3	3	2*p015+1*p23	2	1.00	AVX
VBROADCASTF128	YMM, M128	1	1	1*p23		0.50	AVX
VBROADCASTSS	XMM, M32	1	1	1*p23		0.50	AVX
VCMPPD	XMM, XMM, M128, I8	2	2	1*p01+1*p23	4	1.00	AVX
VCMPPD	YMM, YMM, M256, I8	2	2	1*p01+1*p23	4	1.00	AVX
VCMPPS	XMM, XMM, M128, I8	2	2	1*p01+1*p23	4	1.00	AVX
VCMPPS	YMM, YMM, M256, I8	2	2	1*p01+1*p23	4	1.00	AVX
VCMPSD	XMM, XMM, M64, I8	2	2	1*p01+1*p23	4	1.00	AVX
VCMPSS	XMM, XMM, M32, I8	2	2	1*p01+1*p23	4	1.00	AVX
VCOMISD	XMM, M64	2	2	1*p0+1*p23	3	1.00	AVX
VCOMISS	XMM, M32	2	2	1*p0+1*p23	3	1.00	AVX
VCVTDQ2PD	XMM, M64	1	2	1*p01+1*p23		0.53	AVX
VCVTDQ2PD	YMM, M128	1	2	1*p01+1*p23		0.54	AVX
VCVTDQ2PS	XMM, M128	1	2	1*p01+1*p23		0.53	AVX
VCVTDQ2PS	YMM, M256	1	2	1*p01+1*p23		0.54	AVX
VCVTPD2DQ	XMM, M128	2	3	1*p01+1*p23+1*p5		1.00	AVX
VCVTPD2DQ	XMM, XMM	2	2	1*p01+1*p5	5	1.00	AVX
VCVTPD2PS	XMM, M128	2	3	1*p01+1*p23+1*p5		1.00	AVX
VCVTPD2PS	XMM, XMM	2	2	1*p01+1*p5	5	1.00	AVX
VCVTPS2DQ	XMM, M128	1	2	1*p01+1*p23		0.53	AVX
VCVTPS2DQ	YMM, M256	1	2	1*p01+1*p23		0.53	AVX
VCVTPS2PD	XMM, M64	1	2	1*p01+1*p23		0.53	AVX
VCVTPS2PD	YMM, M128	1	2	1*p01+1*p23		0.52	AVX
VCVTSD2SI	R32, M64	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTSD2SI	R64, M64	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTSD2SS	XMM, XMM, M64	2	3	1*p01+1*p23+1*p5	1	1.00	AVX
VCVTSI2SD	XMM, XMM, M32	1	2	1*p01+1*p23	4	0.53	AVX
VCVTSI2SD	XMM, XMM, R32	2	2	1*p01+1*p5	7	1.00	AVX
VCVTSI2SS	XMM, XMM, M32	1	2	1*p01+1*p23	4	0.53	AVX
VCVTSI2SS	XMM, XMM, R32	2	2	1*p01+1*p5	7	1.00	AVX
VCVTSS2SD	XMM, XMM, M32	1	2	1*p01+1*p23	4	0.54	AVX
VCVTSS2SI	R32, M32	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTSS2SI	R64, M32	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTTPD2DQ	XMM, M128	2	3	1*p01+1*p23+1*p5		1.00	AVX
VCVTTPD2DQ	XMM, XMM	2	2	1*p01+1*p5	5	1.00	AVX
VCVTTPS2DQ	XMM, M128	1	2	1*p01+1*p23		0.53	AVX
VCVTTPS2DQ	YMM, M256	1	2	1*p01+1*p23		0.53	AVX
VCVTTSD2SI	R32, M64	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTTSD2SI	R64, M64	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTTSS2SI	R32, M32	2	3	1*p0+1*p01+1*p23		1.00	AVX
VCVTTSS2SI	R64, M32	2	3	1*p0+1*p01+1*p23		1.00	AVX
VDIVPD	XMM, XMM, M128	1	2	1*p0+1*p23		4.00	AVX
VDIVPD	YMM, YMM, M256	1	2	1*p0+1*p23		8.00	AVX
VDIVPS	XMM, XMM, M128	1	2	1*p0+1*p23		3.00	AVX
VDIVPS	YMM, YMM, M256	1	2	1*p0+1*p23		5.00	AVX
VDIVSD	XMM, XMM, M64	1	2	1*p0+1*p23		4.00	AVX
VDIVSS	XMM, XMM, M32	1	2	1*p0+1*p23		3.00	AVX
VDPPD	XMM, XMM, M128, I8	4	4	2*p01+1*p23+1*p5	9	1.00	AVX
