;Intel Conroe (Core 2)
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1	1*p015		3.00	PREFETCH_NOP
ADC	AL, 0	2	2	2*p015	2	1.00	I86
ADC	AX, I16	2	2	2*p015	2	2.00	I86
ADC	M16, 0	6	6	3*p015+1*p2+1*p3+1*p4	7	2.16	I86
ADC	M16, I8	6	6	3*p015+1*p2+1*p3+1*p4	7	1.44	I86
ADC	M32, 0	6	6	3*p015+1*p2+1*p3+1*p4	7	1.44	I86
ADC	M32, I8	6	6	3*p015+1*p2+1*p3+1*p4	7	1.44	I86
ADC	M64, 0	6	6	3*p015+1*p2+1*p3+1*p4	7	1.44	I86
ADC	M64, I8	6	6	3*p015+1*p2+1*p3+1*p4	7	1.44	I86
ADC	M8, 0	6	6	3*p015+1*p2+1*p3+1*p4	7	2.00	I86
ADC	M8, R8h	6	6	3*p015+1*p2+1*p3+1*p4	7	2.43	I86
ADC	R16, 0	2	2	2*p015	2	1.00	I86
ADC	R16, I8	2	2	2*p015	2	1.00	I86
ADC	R32, 0	2	2	2*p015	2	1.00	I86
ADC	R32, I8	2	2	2*p015	2	1.00	I86
ADC	R64, 0	2	2	2*p015	2	1.00	I86
ADC	R64, I8	2	2	2*p015	2	1.00	I86
ADC	R8h, 0	2	2	2*p015	2	1.00	I86
ADC	R8h, M8	3	3	2*p015+1*p2	2	1.00	I86
ADC	RAX, I32	2	2	2*p015	2	1.00	I86
ADC	R8h, R8l	2	2	2*p015	2	1.00	I86
ADC	R8l, R8l	2	2	2*p015	2	1.00	I86
ADC	R32, R32	2	2	2*p015	2	1.00	I86
ADC	R8h, R8h	2	2	2*p015	2	1.00	I86
ADC	R8l, R8h	2	2	2*p015	2	1.00	I86
ADC	R16, R16	2	2	2*p015	2	1.00	I86
ADC	R64, R64	2	2	2*p015	2	1.00	I86
ADC	M16, I16	9	9	3*p015+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M16, R16	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M32, I32	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M32, R32	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M64, I32	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M64, R64	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M8, I8	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	M8, R8l	9	9	2*p015+1*p05+1*p2+2*p3+1*p4+1*p5	30	21.00	lock I86
ADC	R8l, I8	2	2	2*p015	2	1.00	I86
ADD	AL, I8	1	1	1*p015	1	0.67	I86
ADD	EAX, I32	1	1	1*p015	1	0.67	I86
ADD	M16, I16	4	4	1*p015+1*p2+1*p3+1*p4		2.96	I86
ADD	M16, R16	4	4	1*p015+1*p2+1*p3+1*p4	5	1.00	I86
ADD	M32, I32	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
ADD	M32, R32	4	4	1*p015+1*p2+1*p3+1*p4	5	1.00	I86
ADD	M64, I32	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
ADD	M64, R64	4	4	1*p015+1*p2+1*p3+1*p4	5	1.00	I86
ADD	M8, I8	4	4	1*p015+1*p2+1*p3+1*p4		2.00	I86
ADD	M8, R8l	4	4	1*p015+1*p2+1*p3+1*p4	5	2.20	I86
ADD	R16, I16	1	1	1*p015	1	2.43	I86
ADD	R16, M16	2	2	1*p015+1*p2	1	1.00	I86
ADD	R32, I32	1	1	1*p015	1	0.40	I86
ADD	R32, M32	2	2	1*p015+1*p2	1	1.00	I86
ADD	R64, I32	1	1	1*p015	1	0.44	I86
ADD	R64, M64	2	2	1*p015+1*p2	1	1.00	I86
ADD	R8h, I8	1	1	1*p015	1	0.33	I86
ADD	R8l, M8	2	2	1*p015+1*p2	1	1.00	I86
ADD	R8h, R8h	1	1	1*p015	1	0.33	I86
ADD	R8l, R8h	1	1	1*p015	1	0.42	I86
ADD	R16, R16	1	1	1*p015	1	0.33	I86
ADD	R64, R64	1	1	1*p015	1	0.33	I86
ADD	R8h, R8l	1	1	1*p015	1	0.33	I86
ADD	R8l, R8l	1	1	1*p015	1	0.33	I86
ADD	R32, R32	1	1	1*p015	1	0.33	I86
ADD	M16, 0	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
ADD	M16, I8	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
ADD	M32, 0	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
ADD	M32, I8	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
