;Intel Haswell (4th gen Core)
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	0			0.25	PREFETCH_NOP
AESDEC	XMM, M128	2	2	1*p23+1*p5	7	1.00	AES
AESDECLAST	XMM, M128	2	2	1*p23+1*p5	7	1.00	AES
AESENC	XMM, M128	2	2	1*p23+1*p5	7	1.00	AES
AESENCLAST	XMM, M128	2	2	1*p23+1*p5	7	1.00	AES
AESIMC	XMM, M128	3	3	1*p23+2*p5		2.00	AES
AESKEYGENASSIST	XMM, M128, I8	10	10	2*p0+1*p23+7*p5		7.84	AES
VADDPD	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VADDPD	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VADDPS	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VADDPS	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VADDSD	XMM, XMM, M64	1	2	1*p1+1*p23	3	1.00	AVX
VADDSS	XMM, XMM, M32	1	2	1*p1+1*p23	3	1.00	AVX
VADDSUBPD	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VADDSUBPD	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VADDSUBPS	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VADDSUBPS	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VANDNPD	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VANDNPD	YMM, YMM, M256	1	2	1*p23+1*p5	1	1.00	AVX
VANDNPS	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VANDNPS	YMM, YMM, M256	1	2	1*p23+1*p5	1	1.00	AVX
VANDPD	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VANDPD	YMM, YMM, M256	1	2	1*p23+1*p5	1	1.00	AVX
VANDPS	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VANDPS	YMM, YMM, M256	1	2	1*p23+1*p5	1	1.00	AVX
VBLENDPD	XMM, XMM, M128, I8	2	2	1*p015+1*p23	1	1.00	AVX
VBLENDPD	YMM, YMM, M256, I8	2	2	1*p015+1*p23	1	0.98	AVX
VBLENDPS	XMM, XMM, M128, I8	2	2	1*p015+1*p23	1	1.00	AVX
VBLENDPS	YMM, YMM, M256, I8	2	2	1*p015+1*p23	1	0.98	AVX
VBLENDVPD	XMM, XMM, M128, XMM	3	3	1*p23+2*p5	2	2.00	AVX
VBLENDVPD	YMM, YMM, M256, YMM	3	3	1*p23+2*p5	2	2.00	AVX
VBLENDVPS	XMM, XMM, M128, XMM	3	3	1*p23+2*p5	2	2.00	AVX
VBLENDVPS	YMM, YMM, M256, YMM	3	3	1*p23+2*p5	2	2.00	AVX
VBROADCASTF128	YMM, M128	1	1	1*p23		0.50	AVX
VBROADCASTSS	XMM, M32	1	1	1*p23		0.50	AVX
VCMPPD	XMM, XMM, M128, I8	2	2	1*p1+1*p23	3	1.00	AVX
VCMPPD	YMM, YMM, M256, I8	2	2	1*p1+1*p23	3	1.00	AVX
VCMPPS	XMM, XMM, M128, I8	2	2	1*p1+1*p23	3	1.00	AVX
VCMPPS	YMM, YMM, M256, I8	2	2	1*p1+1*p23	3	1.00	AVX
VCMPSD	XMM, XMM, M64, I8	2	2	1*p1+1*p23	3	1.00	AVX
VCMPSS	XMM, XMM, M32, I8	2	2	1*p1+1*p23	3	1.00	AVX
VCOMISD	XMM, M64	2	2	1*p1+1*p23	3	1.00	AVX
VCOMISS	XMM, M32	2	2	1*p1+1*p23	3	1.00	AVX
VCVTDQ2PD	XMM, M64	2	2	1*p1+1*p23		1.00	AVX
VCVTDQ2PD	YMM, M128	2	2	1*p1+1*p23		1.00	AVX
VCVTDQ2PS	XMM, M128	1	2	1*p1+1*p23		1.00	AVX
VCVTDQ2PS	YMM, M256	1	2	1*p1+1*p23		1.00	AVX
VCVTPD2DQ	XMM, M128	2	3	1*p1+1*p23+1*p5		1.00	AVX
VCVTPD2DQ	XMM, XMM	2	2	1*p1+1*p5	4	1.00	AVX
VCVTPD2PS	XMM, M128	2	3	1*p1+1*p23+1*p5		1.00	AVX
VCVTPD2PS	XMM, XMM	2	2	1*p1+1*p5	4	1.00	AVX
VCVTPS2DQ	XMM, M128	1	2	1*p1+1*p23		1.00	AVX
VCVTPS2DQ	YMM, M256	1	2	1*p1+1*p23		1.00	AVX
VCVTPS2PD	XMM, M64	2	2	1*p0+1*p23		1.00	AVX
VCVTPS2PD	YMM, M128	2	2	1*p0+1*p23		1.00	AVX
VCVTSD2SI	R32, M64	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTSD2SI	R64, M64	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTSD2SS	XMM, XMM, M64	2	3	1*p1+1*p23+1*p5	1	1.00	AVX
VCVTSI2SD	XMM, XMM, M32	2	2	1*p1+1*p23	3	1.00	AVX
VCVTSI2SD	XMM, XMM, R32	2	2	1*p1+1*p5	4	1.00	AVX
VCVTSI2SS	XMM, XMM, M32	1	2	1*p1+1*p23	3	1.00	AVX
VCVTSI2SS	XMM, XMM, R32	2	2	1*p1+1*p5	4	1.00	AVX
VCVTSS2SD	XMM, XMM, M32	2	2	1*p0+1*p23	1	1.00	AVX
VCVTSS2SI	R32, M32	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTSS2SI	R64, M32	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTTPD2DQ	XMM, M128	2	3	1*p1+1*p23+1*p5		1.00	AVX
VCVTTPD2DQ	XMM, XMM	2	2	1*p1+1*p5	4	1.00	AVX
VCVTTPS2DQ	XMM, M128	1	2	1*p1+1*p23		1.00	AVX
VCVTTPS2DQ	YMM, M256	1	2	1*p1+1*p23		1.00	AVX
VCVTTSD2SI	R32, M64	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTTSD2SI	R64, M64	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTTSS2SI	R32, M32	2	3	1*p0+1*p1+1*p23		1.00	AVX
VCVTTSS2SI	R64, M32	2	3	1*p0+1*p1+1*p23		1.00	AVX
VDIVPD	XMM, XMM, M128	1	2	1*p0+1*p23		8.00	AVX
VDIVPD	YMM, YMM, M256	4	4	2*p0+1*p015+1*p23		16.48	AVX
VDIVPS	XMM, XMM, M128	1	2	1*p0+1*p23		7.00	AVX
VDIVPS	YMM, YMM, M256	4	4	2*p0+1*p015+1*p23		14.11	AVX
VDIVSD	XMM, XMM, M64	1	2	1*p0+1*p23		8.00	AVX
VDIVSS	XMM, XMM, M32	1	2	1*p0+1*p23		7.00	AVX
VDPPD	XMM, XMM, M128, I8	4	4	1*p0+1*p1+1*p23+1*p5	9	1.00	AVX
VDPPS	XMM, XMM, M128, I8	6	6	2*p0+1*p06+1*p1+1*p23+1*p5	14	4.00	AVX
VDPPS	YMM, YMM, M256, I8	6	6	2*p0+1*p06+1*p1+1*p23+1*p5	14	4.00	AVX
VEXTRACTF128	M128, YMM, I8	2	2	1*p23+1*p4	5	1.00	AVX
VEXTRACTPS	M32, XMM, I8	2	3	1*p237+1*p4+1*p5	6	1.00	AVX
VHADDPD	XMM, XMM, M128	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHADDPD	YMM, YMM, M256	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHADDPS	XMM, XMM, M128	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHADDPS	YMM, YMM, M256	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHSUBPD	XMM, XMM, M128	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHSUBPD	YMM, YMM, M256	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHSUBPS	XMM, XMM, M128	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VHSUBPS	YMM, YMM, M256	4	4	1*p1+1*p23+2*p5	5	2.00	AVX
VINSERTF128	YMM, YMM, M128, I8	2	2	1*p015+1*p23	1	1.00	AVX
VINSERTPS	XMM, XMM, M32, I8	2	2	1*p23+1*p5	1	1.00	AVX
VLDDQU	XMM, M128	1	1	1*p23		0.50	AVX
VLDMXCSR	M32	3	3	1*p0+1*p06+1*p23		2.30	AVX
VMASKMOVPD	M128, XMM, XMM	4	4	1*p0+1*p1+1*p23+1*p4	0	1.00	AVX
VMASKMOVPD	XMM, XMM, M128	3	3	1*p23+2*p5	2	2.00	AVX
VMASKMOVPS	M128, XMM, XMM	4	4	1*p0+1*p1+1*p23+1*p4	0	1.00	AVX
VMASKMOVPS	XMM, XMM, M128	3	3	1*p23+2*p5	2	2.00	AVX
VMAXPD	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VMAXPD	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VMAXPS	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VMAXPS	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VMAXSD	XMM, XMM, M64	1	2	1*p1+1*p23	3	1.00	AVX
VMAXSS	XMM, XMM, M32	1	2	1*p1+1*p23	3	1.00	AVX
VMINPD	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VMINPD	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VMINPS	XMM, XMM, M128	1	2	1*p1+1*p23	3	1.00	AVX
VMINPS	YMM, YMM, M256	1	2	1*p1+1*p23	3	1.00	AVX
VMINSD	XMM, XMM, M64	1	2	1*p1+1*p23	3	1.00	AVX
