;Intel Skylake-X							
;List of instruction timings and ?op breakdown							
							
;Explanation of column headings:							
;Instruction:	Name of instruction. Multiple names mean that these instructions have the same data. Instructions with or without V name prefix behave the same unless otherwise noted.						
;Operands:	i = immediate data, r = register, mm = 64 bit mmx register, x = 128 bit xmm register, (x)mm = mmx or xmm register, y = 256 bit ymm register, z = 512 bit zmm register, xy = xmm or ymm register, v = any vector register (mmx, xmm, ymm, zmm). m = memory operand, m32 = 32-bit memory operand, etc.						
;?ops fused domain:	The number of ?ops at the decode, rename, allocate and retire stages in the pipeline. Fused ?ops count as one.						
;?ops unfused domain:	The total number of ?ops for all execution ports. Fused ?ops count as two. Fused macro-ops count as one. The instruction has ?op fusion if this number is higher than the number under fused domain. Some operations are not counted here if they do not go to any execution port or if the counters are inaccurate.						
;發ps each port:	The number of ?ops for each execution port. p0 means a 發p to execution port 0. p01means a 發p that can go to either port 0 or port 1. p0 p1 means two 發ps going to port 0 and 1, respectively.
;Port 0: Integer, f.p. and 256 bit vector ALU, mul, div, branch
;Port 1: Integer, f.p. and 256 bit vector ALU (re-routed to port 0 for 512-bit vectors)
;Port 2: Load
;Port 3: Load
;Port 4: Store
;Port 5: Integer and 512 bit vector ALU
;Port 6: Integer ALU, branch
;Port 7: Store address						
;Latency:	This is the delay that the instruction generates in a dependency chain. The numbers are minimum values. Cache misses, misalignment, and exceptions may increase the clock counts considerably. Where hyperthreading is enabled, the use of the same execution units in the other thread leads to inferior performance. Denormal numbers, NAN's and infinity do not increase the latency. The time unit used is core clock cycles, not the reference clock cycles given by the time stamp counter.						
;Reciprocal throughput:	The average number of core clock cycles per instruction for a series of independent instructions of the same kind in the same thread.						
							
							
;Integer instructions							
;Instruction	Operands	發ps fused domain	發ps unfused domain	發ps each port	Latency	Reciprocal throughput	Comments
;Move instructions							
MOV	r,i	1	1	p0156		0.25	
MOV	r8/16,r8/16	1	1	p0156	1	0.25	
MOV	r32/64,r32/64	1	1	p0156	0-1	0.25	may eliminate
MOV	r8l,m	1	2	p23 p0156		0.5	
MOV	r8h,m	1	1	p23		0.5	
