;Intel Tremont (Atom)
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1			0.50	PREFETCH_NOP
AESDEC	XMM, M128	1	1		4	0.50	AES
AESDECLAST	XMM, M128	1	1		4	0.50	AES
AESENC	XMM, M128	1	1		4	0.50	AES
AESENCLAST	XMM, M128	1	1		4	0.52	AES
AESIMC	XMM, M128	1	1			0.50	AES
AESKEYGENASSIST	XMM, M128, I8	1	1			0.50	AES
ADC	AL, 0	1	1		2	1.00	I86
ADC	AX, I16	1	1		2	1.00	I86
ADC	M16, 0	1	1		7	1.00	I86
ADC	M16, I8	1	1		7	1.00	I86
ADC	M32, 0	1	1		7	1.00	I86
ADC	M32, I8	1	1		7	1.00	I86
ADC	M64, 0	1	1		7	1.00	I86
ADC	M64, I8	1	1		7	1.00	I86
ADC	M8, 0	1	1		7	1.00	I86
ADC	M8, R8h	1	1		7	1.00	I86
ADC	R16, 0	1	1		2	1.00	I86
ADC	R16, I8	1	1		2	1.00	I86
ADC	R32, 0	1	1		2	1.00	I86
ADC	R32, I8	1	1		2	1.00	I86
ADC	R64, 0	1	1		2	1.00	I86
ADC	R64, I8	1	1		2	1.00	I86
ADC	R8h, 0	1	1		2	1.00	I86
ADC	R8h, M8	1	1		2	1.00	I86
ADC	RAX, I32	1	1		2	1.00	I86
ADC	R8h, R8l	1	1		2	1.00	I86
ADC	R8l, R8l	1	1		2	1.00	I86
ADC	R32, R32	1	1		2	1.00	I86
ADC	R8h, R8h	1	1		3	1.00	I86
ADC	R8l, R8h	1	1		3	1.00	I86
ADC	R16, R16	1	1		2	1.00	I86
ADC	R64, R64	1	1		2	1.00	I86
ADC	M16, I16	1	1		18	15.25	lock I86
ADC	M16, R16	1	1		19	15.25	lock I86
ADC	M32, I32	1	1		18	15.25	lock I86
ADC	M32, R32	1	1		19	15.25	lock I86
ADC	M64, I32	1	1		18	15.25	lock I86
ADC	M64, R64	1	1		19	15.25	lock I86
