;AMD Zen 3
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1			0.33	PREFETCH_NOP
ADCX	R32, M32	1	1		1	0.45	ADOX_ADCX
ADCX	R64, M64	1	1		1	0.44	ADOX_ADCX
ADOX	R32, M32	1	1		1	0.45	ADOX_ADCX
ADOX	R64, M64	1	1		1	0.45	ADOX_ADCX
AESDEC	XMM, M128	1	1	1*FP01	4	0.50	AES
AESDECLAST	XMM, M128	1	1	1*FP01	4	0.50	AES
AESENC	XMM, M128	1	1	1*FP01	4	0.50	AES
AESENCLAST	XMM, M128	1	1	1*FP01	4	0.50	AES
AESIMC	XMM, M128	1	1	1*FP01		0.50	AES
AESKEYGENASSIST	XMM, M128, I8	1	1	1*FP01		0.50	AES
VADDPD	XMM, XMM, M128	1	1	1*FP23	3	0.50	AVX
VADDPD	YMM, YMM, M256	1	1	1*FP23	3	0.50	AVX
VADDPS	XMM, XMM, M128	1	1	1*FP23	3	0.50	AVX
VADDPS	YMM, YMM, M256	1	1	1*FP23	3	0.50	AVX
VADDSD	XMM, XMM, M64	1	1	1*FP23	3	0.50	AVX
VADDSS	XMM, XMM, M32	1	1	1*FP23	3	0.50	AVX
VADDSUBPD	XMM, XMM, M128	1	1	1*FP23	3	0.50	AVX
VADDSUBPD	YMM, YMM, M256	1	1	1*FP23	3	0.50	AVX
VADDSUBPS	XMM, XMM, M128	1	1	1*FP23	3	0.50	AVX
VADDSUBPS	YMM, YMM, M256	1	1	1*FP23	3	0.50	AVX
VANDNPD	XMM, XMM, M128	1	1	1*FP0123	1	0.50	AVX
VANDNPD	YMM, YMM, M256	1	1	1*FP0123	1	0.50	AVX
VANDNPS	XMM, XMM, M128	1	1	1*FP0123	1	0.50	AVX
VANDNPS	YMM, YMM, M256	1	1	1*FP0123	1	0.50	AVX
VANDPD	XMM, XMM, M128	1	1	1*FP0123	1	0.50	AVX
VANDPD	YMM, YMM, M256	1	1	1*FP0123	1	0.50	AVX
VANDPS	XMM, XMM, M128	1	1	1*FP0123	1	0.50	AVX
VANDPS	YMM, YMM, M256	1	1	1*FP0123	1	0.50	AVX
VBLENDPD	XMM, XMM, M128, I8	1	1	1*FP0123	1	0.50	AVX
VBLENDPD	YMM, YMM, M256, I8	1	1	1*FP0123	1	0.50	AVX
VBLENDPS	XMM, XMM, M128, I8	1	1	1*FP0123	1	0.50	AVX
VBLENDPS	YMM, YMM, M256, I8	1	1	1*FP0123	1	0.50	AVX
VBLENDVPD	XMM, XMM, M128, XMM	1	1	1*FP01	1	0.50	AVX
VBLENDVPD	YMM, YMM, M256, YMM	1	1	1*FP01	1	0.50	AVX
VBLENDVPS	XMM, XMM, M128, XMM	1	1	1*FP01	1	0.50	AVX
VBLENDVPS	YMM, YMM, M256, YMM	1	1	1*FP01	1	0.50	AVX
VBROADCASTF128	YMM, M128	1	1			0.50	AVX
VBROADCASTSS	XMM, M32	1	1			0.50	AVX
VCMPPD	XMM, XMM, M128, I8	1	1	1*FP23	1	0.50	AVX
VCMPPD	YMM, YMM, M256, I8	1	1	1*FP23	1	0.50	AVX
VCMPPS	XMM, XMM, M128, I8	1	1	1*FP23	1	0.50	AVX
VCMPPS	YMM, YMM, M256, I8	1	1	1*FP23	1	0.50	AVX
VCMPSD	XMM, XMM, M64, I8	1	1	1*FP23	1	0.50	AVX
VCMPSS	XMM, XMM, M32, I8	1	1	1*FP23	1	0.50	AVX
VCOMISD	XMM, M64	2	2	1*FP23+1*FP45	7	1.00	AVX
VCOMISS	XMM, M32	2	2	1*FP23+1*FP45	7	1.00	AVX
VCVTDQ2PD	XMM, M64	1	1	1*FP23		0.50	AVX
VCVTDQ2PD	YMM, M128	1	1	1*FP23		0.50	AVX
VCVTDQ2PS	XMM, M128	1	1	1*FP23		0.50	AVX
VCVTDQ2PS	YMM, M256	1	1	1*FP23		0.50	AVX
VCVTPD2DQ	XMM, M128	1	1	1*FP23		0.50	AVX
VCVTPD2DQ	XMM, XMM	1	1	1*FP23	3	0.50	AVX
VCVTPD2PS	XMM, M128	1	1	1*FP23		0.50	AVX
VCVTPD2PS	XMM, XMM	1	1	1*FP23	3	0.50	AVX
VCVTPS2DQ	XMM, M128	1	1	1*FP23		0.50	AVX
VCVTPS2DQ	YMM, M256	1	1	1*FP23		0.50	AVX
VCVTPS2PD	XMM, M64	1	1	1*FP23		0.50	AVX
VCVTPS2PD	YMM, M128	1	1	1*FP23		0.50	AVX
VCVTSD2SI	R32, M64	2	2	1*FP23+1*FP45		1.00	AVX
VCVTSD2SI	R64, M64	2	2	1*FP23+1*FP45		1.00	AVX
VCVTSD2SS	XMM, XMM, M64	1	1	1*FP23	0	0.50	AVX
VCVTSI2SD	XMM, XMM, M32	1	1	1*FP23	0	0.50	AVX
VCVTSI2SD	XMM, XMM, R32	2	2	1*FP3	9	1.00	AVX
VCVTSI2SS	XMM, XMM, M32	1	1	1*FP23	0	0.50	AVX
VCVTSI2SS	XMM, XMM, R32	2	2	1*FP3	9	1.00	AVX
VCVTSS2SD	XMM, XMM, M32	1	1	1*FP23	0	0.50	AVX
VCVTSS2SI	R32, M32	2	2	1*FP23+1*FP45		1.00	AVX
VCVTSS2SI	R64, M32	2	2	1*FP23+1*FP45		1.00	AVX
VCVTTPD2DQ	XMM, M128	1	1	1*FP23		0.50	AVX
VCVTTPD2DQ	XMM, XMM	1	1	1*FP23	3	0.50	AVX
VCVTTPS2DQ	XMM, M128	1	1	1*FP23		0.50	AVX
VCVTTPS2DQ	YMM, M256	1	1	1*FP23		0.50	AVX
VCVTTSD2SI	R32, M64	2	2	1*FP23+1*FP45		1.00	AVX
VCVTTSD2SI	R64, M64	2	2	1*FP23+1*FP45		1.00	AVX
VCVTTSS2SI	R32, M32	2	2	1*FP23+1*FP45		1.00	AVX
VCVTTSS2SI	R64, M32	2	2	1*FP23+1*FP45		1.00	AVX
VDIVPD	XMM, XMM, M128	1	1	1*FP01	13	4.50	AVX
VDIVPD	YMM, YMM, M256	1	1	1*FP01	13	4.50	AVX
VDIVPS	XMM, XMM, M128	1	1	1*FP01	10	3.50	AVX
VDIVPS	YMM, YMM, M256	1	1	1*FP01	10	3.50	AVX
VDIVSD	XMM, XMM, M64	1	1	1*FP01	13	4.50	AVX
VDIVSS	XMM, XMM, M32	1	1	1*FP01	10	3.50	AVX
VDPPD	XMM, XMM, M128, I8	5	5	1*FP0123+1*FP1+1*FP23	9	4.00	AVX
VDPPS	XMM, XMM, M128, I8	10	10	1*FP0123+2*FP1+2*FP23	15	5.00	AVX
VDPPS	YMM, YMM, M256, I8	8	8	1*FP0123+1*FP1+1*FP12+1*FP23+1*FP3	15	4.00	AVX
VEXTRACTF128	M128, YMM, I8	2	2	1*FP01+1*FP45	11	1.00	AVX
VEXTRACTPS	M32, XMM, I8	2	2	1*FP12+1*FP45	9	1.00	AVX
VHADDPD	XMM, XMM, M128	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHADDPD	YMM, YMM, M256	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHADDPS	XMM, XMM, M128	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHADDPS	YMM, YMM, M256	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHSUBPD	XMM, XMM, M128	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHSUBPD	YMM, YMM, M256	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHSUBPS	XMM, XMM, M128	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VHSUBPS	YMM, YMM, M256	4	4	1*FP1+1*FP12+1*FP3	6	2.00	AVX
VINSERTF128	YMM, YMM, M128, I8	1	1	1*FP01	1	1.00	AVX
VINSERTPS	XMM, XMM, M32, I8	1	1	1*FP12	1	0.50	AVX
VLDDQU	XMM, M128	1	1			0.50	AVX
VLDMXCSR	M32	1	1	1*FP01		1.50	AVX
VMASKMOVPD	M128, XMM, XMM	10	10	1*FP1+3*FP45	0	4.00	AVX
VMASKMOVPD	XMM, XMM, M128	1	1	1*FP0123	1	0.50	AVX
VMASKMOVPS	M128, XMM, XMM	18	18	3*FP1+5*FP45	0	6.00	AVX
VMASKMOVPS	XMM, XMM, M128	1	1	1*FP0123	1	0.50	AVX
VMAXPD	XMM, XMM, M128	1	1	1*FP23	1	0.50	AVX
VMAXPD	YMM, YMM, M256	1	1	1*FP23	1	0.50	AVX
VMAXPS	XMM, XMM, M128	1	1	1*FP23	1	0.50	AVX
VMAXPS	YMM, YMM, M256	1	1	1*FP23	1	0.50	AVX
