;Intel Ivy Bridge							
;List of instruction timings and ?op breakdown							
							
;Explanation of column headings:							
;Operands:	i = immediate data, r = register, mm = 64 bit mmx register, x = 128 bit xmm register, (x)mm = mmx or xmm register, y = 256 bit ymm register, same = same register for both operands. m = memory operand, m32 = 32-bit memory operand, etc. 						
;?ops fused domain:	The number of ?ops at the decode, rename, allocate and retirement stages in the pipeline. Fused ?ops count as one.						
;?ops unfused domain:	The number of ?ops for each execution port. Fused ?ops count as two. Fused macro-ops count as one. The instruction has ?op fusion if the sum of the numbers listed under p015 + p23 + p4 exceeds the number listed under ?ops fused domain. A number indicated as 1+ under a read or write port means a 256-bit read or write operation using two clock cycles for handling 128 bits each cycle. The port cannot receive another read or write 發p in the second clock cycle, but a read port can receive an address-calculation 發p in the second clock cycle. An x under p0, p1 or p5 means that at least one of the ?ops listed under p015 can optionally go to this port. For example, a 1 under p015 and an x under p0 and p5 means one ?op which can go to either port 0 or port 5, whichever is vacant first. A value listed under p015 but nothing under p0, p1 and p5 means that it is not known which of the three ports these ?ops go to.						
;p015:	The total number of ?ops going to port 0, 1 and 5.						
;p0:	The number of ?ops going to port 0 (execution units).						
;p1:	The number of ?ops going to port 1 (execution units). 						
;p5:	The number of ?ops going to port 5 (execution units). 						
;p23:	The number of ?ops going to port 2 or 3 (memory read or address calculation).						
;p4:	The number of ?ops going to port 4 (memory write data).						
;Latency:	This is the delay that the instruction generates in a dependency chain. The numbers are minimum values. Cache misses, misalignment, and exceptions may increase the clock counts considerably. Where hyperthreading is enabled, the use of the same execution units in the other thread leads to inferior performance. Denormal numbers, NANs and infinity do not increase the latency. The time unit used is core clock cycles, not the reference clock cycles given by the time stamp counter.						
;Reciprocal throughput:	The average number of core clock cycles per instruction for a series of independent instructions of the same kind in the same thread.						
;The latencies and throughputs listed below for addition and multiplication using full size YMM registers are obtained only after a warm-up period of a thousand instructions or more. The latencies may be one or two clock cycles longer and the reciprocal throughputs double the values for shorter sequences of code. There is no warm-up effect when vectors are 128 bits wide or less.						
							
;Instruction	Operands	?ops fused domain	發ps unfused domain 	發ps each port 	Latency	Reci-procal through-put	
							
;Move instructions							
MOV	r,i	1	todo	todo	1	0.33	
MOV	r8/16,r8/16	1	todo	todo	1	0.33	
MOV	r32/64,r32/64	1	todo	todo	0-1	0.25	may be elimin.
MOV	r8/16,m8/16	1	todo	todo	2	0.5	
MOV	r32/64,m32/64	1	todo	todo	2	0.5	
MOV	r,m	1	todo	todo	2	1	64 b abs address
MOV	m,r	1	todo	todo	3	1	
MOV	m,i	1	todo	todo		1	
MOVNTI	m,r	2	todo	todo	~340	1	
MOVSX MOVSXD	r,r	1	todo	todo	1	0.33	
MOVZX	r16,r8	1	todo	todo	1	0.33	
MOVZX	r32/64,r8	1	todo	todo	0-1	0.25	may be elimin.
MOVZX	r32/64,r16	1	todo	todo	1	0.33	
MOVSX MOVZX	r16,m8	2	todo	todo	3	0.5	
MOVSX MOVZX MOVSXD	r32/64,m	1	todo	todo	2	0.5	
CMOVcc	r,r	2	todo	todo	2	0.67	
CMOVcc	r,m	2	todo	todo		~0.8	
XCHG	r,r	3	todo	todo	2	1	
XCHG	r,m	7	todo	todo	25		implicit lock
XLAT		3	todo	todo	7	1	
PUSH	r	1	todo	todo	3	1	
PUSH	i	1	todo	todo		1	
PUSH	m	2	todo	todo		1	
PUSH	(E/R)SP	2	todo	todo	3	1	
PUSHF(D/Q)		3	todo	todo		1	
PUSHA(D)		19	todo	todo		8	not 64 bit
POP	r	1	todo	todo	2	0.5	
POP	(E/R)SP	3	todo	todo		0.5	
POP	m	2	todo	todo		1	
POPF(D/Q)		9	todo	todo		18	
POPA(D)		18	todo	todo		9	not 64 bit
LAHF SAHF		1	todo	todo	1	1	
SALC		3	todo	todo	1	1	not 64 bit
LEA	r16,m	2	todo	todo	2-4	1	
LEA	r32/64,m	1	todo	todo	1	0.5	1-2 components
LEA	r32/64,m	1	todo	todo	3	1	3 components or RIP
BSWAP	r32	1	todo	todo	1	1	
BSWAP	r64	2	todo	todo	2	1	
PREFETCHNTA 	m	1	todo	todo		43	
PREFETCHT0/1/2 	m	1	todo	todo		43	
LFENCE		2	todo	todo		4	
MFENCE		3	todo	todo		36	
SFENCE		2	todo	todo		6	

;Arithmetic instructions			todo	todo			
ADD SUB	r,r/i	1	todo	todo	1	0.33	
ADD SUB	r,m	1	todo	todo		0.5	
ADD SUB	m,r/i	2	todo	todo	6	1	
ADC SBB	r,r/i	2	todo	todo	2	1	
ADC SBB	r,m	2	todo	todo	2	1	
ADC SBB	m,r/i	4	todo	todo	7-8	2	
CMP 	r,r/i	1	todo	todo	1	0.33	
CMP 	m,r/i	1	todo	todo	1	0.5	
INC DEC NEG NOT	r	1	todo	todo	1	0.33	
INC DEC NEG NOT	m	3	todo	todo	6	1	
AAA AAS		2	todo	todo	4		not 64 bit
DAA DAS		3	todo	todo	4		not 64 bit
AAD		3	todo	todo	2		not 64 bit
AAM		8	todo	todo	20	8	not 64 bit
MUL IMUL	r8	1	todo	todo	3	1	
MUL IMUL	r16	4	todo	todo	4	2	
MUL IMUL	r32	3	todo	todo	4	2	
MUL IMUL	r64	2	todo	todo	3	1	
IMUL	r,r	1	todo	todo	3	1	
IMUL	r16,r16,i	2	todo	todo	4	1	
IMUL	r32,r32,i	1	todo	todo	3	1	
IMUL	r64,r64,i	1	todo	todo	3	1	
MUL IMUL	m8	1	todo	todo	3	1	
MUL IMUL	m16	4	todo	todo		2	
MUL IMUL	m32	3	todo	todo		2	
MUL IMUL	m64	2	todo	todo		2	
IMUL	r,m	1	todo	todo		1	
IMUL	r16,m16,i	2	todo	todo		1	
IMUL	r32,m32,i	1	todo	todo		1	
IMUL	r64,m64,i	1	todo	todo		1	
DIV	r8	11	todo	todo	19-22	9	
DIV	r16	11	todo	todo	20-24	10	
DIV	r32	10	todo	todo	19-27	11	
DIV	r64	35-57	todo	todo	29-94	22-76	
IDIV	r8	11	todo	todo	20-23	8	
IDIV	r16	11	todo	todo	20-24	8	
IDIV	r32	9	todo	todo	19-26	8-11	
IDIV	r64	59-134	todo	todo	28-103	26-88	
CBW		1	todo	todo	1	0.33	
CWDE		1	todo	todo	1		
CDQE		1	todo	todo	1		
CWD		2	todo	todo	1		
CDQ		1	todo	todo	1		
CQO		1	todo	todo	1	0.5	
POPCNT	r,r	1	todo	todo	3	1	SSE4.2
POPCNT	r,m	1	todo	todo		1	SSE4.2
CRC32	r,r	1	todo	todo	3	1	SSE4.2
CRC32	r,m	1	todo	todo			SSE4.2

;Logic instructions			todo	todo			
AND OR XOR	r,r/i	1	todo	todo	1	0.33	
AND OR XOR	r,m	1	todo	todo		0.5	
AND OR XOR	m,r/i	2	todo	todo	6	1	
TEST	r,r/i	1	todo	todo	1	0.33	
TEST	m,r/i	1	todo	todo		0.5	
SHR SHL SAR	r,i	1	todo	todo	1	0.5	
SHR SHL SAR	m,i	3	todo	todo		2	
SHR SHL SAR	r,cl	2	todo	todo	1	1	
SHR SHL SAR	m,cl	5	todo	todo		4	
ROR ROL	r,1	2	todo	todo	1	1	short form
ROR ROL	r,i	1	todo	todo	1	0.5	
ROR ROL	m,i	4	todo	todo		2	
ROR ROL	r,cl	2	todo	todo	1	1	
ROR ROL	m,cl	5	todo	todo		4	
RCL RCR	r,1	3	todo	todo	2	2	
RCL RCR	r,i	8	todo	todo	5	5	
RCL RCR	m,i	11	todo	todo		6	
RCL RCR	r,cl	8	todo	todo	5	5	
RCL RCR	m,cl	11	todo	todo		6	
SHRD SHLD	r,r,i	1	todo	todo	1	0.5	
SHRD SHLD	m,r,i	3	todo	todo		2	
SHRD SHLD	r,r,cl	4	todo	todo	2	2	
SHRD SHLD	m,r,cl	5	todo	todo		4	
BT	r,r/i	1	todo	todo	1	0.5	
BT	m,r	10	todo	todo		5	
BT	m,i	2	todo	todo		0.5	
BTR BTS BTC	r,r/i	1	todo	todo	1	0.5	
BTR BTS BTC	m,r	11	todo	todo		5	
BTR BTS BTC	m,i	3	todo	todo		2	
BSF BSR	r,r	1	todo	todo	3	1	
BSF BSR	r,m	1	todo	todo		1	
SETcc	r	1	todo	todo	1	0.5	
SETcc	m	2	todo	todo		1	
CLC		1	todo	todo		0.25	
STC CMC		1	todo	todo	1	0.33	
CLD STD		3	todo	todo		4	

;Control transfer instructions			todo	todo			
JMP	short/near	1	todo	todo	0	2	
JMP	r	1	todo	todo	0	2	
JMP	m	1	todo	todo	0	2	
Conditional jump	short/near	1	todo	todo	0	1-2	fast if no jump
;Fused arithmetic and branch		1	todo	todo	0	1-2	fast if no jump
J(E/R)CXZ	short	2	todo	todo		1-2	
LOOP	short	7	todo	todo		4-5	
LOOP(N)E	short	11	todo	todo		6	
CALL	near	2	todo	todo		2	
CALL	r	2	todo	todo		2	
CALL	m	3	todo	todo		2	
RET		2	todo	todo		2	
RET	i	3	todo	todo		2	
BOUND	r,m	15	todo	todo		7	not 64 bit
INTO		4	todo	todo		6	not 64 bit

;String instructions			todo	todo			
LODS		3	todo	todo		1	
;REP LODS		~5n	todo	todo	~2n		
STOS		3	todo	todo		1	
;REP STOS		many	todo	todo	n		worst case
;REP STOS		many	todo	todo	1/16B		best case
MOVS		5	todo	todo		4	
;REP MOVS		2n	todo	todo	n		worst case
;REP MOVS		4/16B	todo	todo	1/16B		best case
SCAS		3	todo	todo		1	
;REP SCAS		~6n	todo	todo	~2n		
CMPS		5	todo	todo		4	
;REP CMPS		~8n	todo	todo	~2n		

;Synchronization instructions			todo	todo			
XADD	m,r	4	todo	todo	7		
;LOCK XADD	m,r	8	todo	todo	22		
;LOCK ADD	m,r	7	todo	todo	22		
CMPXCHG	m,r	5	todo	todo	7		
;LOCK CMPXCHG	m,r	9	todo	todo	22		
